School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
330,Doomadgee State School,2018,State School,Combined,Very Remote Australia,North Queensland,Doomadgee (S),Traeger,18850,31143,60.50%
330,Doomadgee State School,2019,State School,Combined,Very Remote Australia,North Queensland,Doomadgee (S),Traeger,17696,31133,56.80%
31,Drayton State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28249.5,30277,93.30%
31,Drayton State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28024.5,29984.5,93.50%
31,Drayton State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28295.5,30791,91.90%
31,Drayton State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28489,30759,92.60%
31,Drayton State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,24298,26540.5,91.60%
889,Drillham State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Callide,2830.5,2928,96.70%
889,Drillham State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Callide,2940,3061,96.00%
889,Drillham State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Callide,2583.5,2649,97.50%
889,Drillham State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Callide,3363.5,3575,94.10%
889,Drillham State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Callide,3708,3854,96.20%
342,Duaringa State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,1807.5,1925,93.90%
342,Duaringa State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,1357.5,1419,95.70%
342,Duaringa State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,1876,1989,94.30%
342,Duaringa State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,1816,1985,91.50%
342,Duaringa State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,1473,1629,90.40%
1170,Dulacca State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Warrego,2060,2182,94.40%
1170,Dulacca State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Warrego,2038.5,2186,93.30%
1170,Dulacca State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Warrego,2291.5,2565,89.30%
1170,Dulacca State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Warrego,1966,2131,92.30%
1170,Dulacca State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,Western Downs (R),Warrego,1923,2082,92.40%
1779,Dundula State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mirani,3381.5,3860,87.60%
1779,Dundula State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mirani,3384.5,3754,90.20%
1779,Dundula State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mirani,4867.5,5211,93.40%
1779,Dundula State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mirani,5364.5,6062,88.50%
1779,Dundula State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mirani,6036.5,6854,88.10%
934,Dunkeld State School,2015,State School,Primary,Remote Australia,Darling Downs South West,Maranoa (R),Warrego,731,768,95.20%
934,Dunkeld State School,2016,State School,Primary,Remote Australia,Darling Downs South West,Maranoa (R),Warrego,753,852,88.40%
934,Dunkeld State School,2017,State School,Primary,Remote Australia,Darling Downs South West,Maranoa (R),Warrego,485,517,93.80%
934,Dunkeld State School,2018,State School,Primary,Remote Australia,Darling Downs South West,Maranoa (R),Warrego,271,301,90.00%
934,Dunkeld State School,2019,State School,Primary,Remote Australia,Darling Downs South West,Maranoa (R),Warrego,305.5,326,93.70%
784,Dunwich State School,2015,State School,Primary,Remote Australia,South East,Redland (C),Oodgeroo,13267,14632,90.70%
784,Dunwich State School,2016,State School,Primary,Remote Australia,South East,Redland (C),Oodgeroo,14189,15595,91.00%
784,Dunwich State School,2017,State School,Primary,Remote Australia,South East,Redland (C),Oodgeroo,14284,15789,90.50%
784,Dunwich State School,2018,State School,Primary,Remote Australia,South East,Redland (C),Oodgeroo,15221,17070,89.20%
784,Dunwich State School,2019,State School,Primary,Remote Australia,South East,Redland (C),Oodgeroo,15668.5,17741,88.30%
959,Durack State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Inala,49433,52883,93.50%
959,Durack State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Inala,51584.5,54903,94.00%
959,Durack State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Inala,51023,55012,92.70%
959,Durack State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Inala,58171,62891,92.50%
959,Durack State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Inala,57896.5,62843,92.10%
1667,Durong South State School,2015,State School,Primary,Outer Regional Australia,Darling Downs South West,South Burnett (R),Nanango,2075,2279,91.00%
1667,Durong South State School,2016,State School,Primary,Outer Regional Australia,Darling Downs South West,South Burnett (R),Nanango,1897.5,2098,90.40%
1667,Durong South State School,2017,State School,Primary,Outer Regional Australia,Darling Downs South West,South Burnett (R),Nanango,1592.5,1688,94.30%
1667,Durong South State School,2018,State School,Primary,Outer Regional Australia,Darling Downs South West,South Burnett (R),Nanango,1093,1258,86.90%
1667,Durong South State School,2019,State School,Primary,Outer Regional Australia,Darling Downs South West,South Burnett (R),Nanango,1056.5,1234,85.60%
506,Dutton Park State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,26697.5,28135.5,94.90%
506,Dutton Park State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,27868,29483,94.50%
506,Dutton Park State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,29788.5,31872.5,93.50%
506,Dutton Park State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,30535.5,32402,94.20%
506,Dutton Park State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,31349.5,33540,93.50%
2156,Dysart State High School,2015,State High School,Secondary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,13238,14358,92.20%
2156,Dysart State High School,2016,State High School,Secondary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,14576,15916.5,91.60%
2156,Dysart State High School,2017,State High School,Secondary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,14891,16379.5,90.90%
2156,Dysart State High School,2018,State High School,Secondary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,14266,16160.5,88.30%
2156,Dysart State High School,2019,State High School,Secondary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,13755,15410,89.30%
97,Dysart State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,30358.5,33210,91.40%
97,Dysart State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,31402,34022,92.30%
97,Dysart State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,30934.5,33770.5,91.60%
97,Dysart State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,31500,34544.5,91.20%
97,Dysart State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Isaac (R),Burdekin,29345.5,32337,90.70%
726,Eagle Junction State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,75300.5,78878,95.50%
726,Eagle Junction State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,76157,79436,95.90%
726,Eagle Junction State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,75285,78735,95.60%
726,Eagle Junction State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,83869.5,88206,95.10%
726,Eagle Junction State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Clayfield,81799.5,85872,95.30%
1876,Eagleby South State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,32538.5,37301.5,87.20%
1876,Eagleby South State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,33157,37130,89.30%
1876,Eagleby South State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,38316,44050,87.00%
1876,Eagleby South State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,42693,49227,86.70%
1876,Eagleby South State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,41918.5,48891,85.70%
1974,Eagleby State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,40510,45754,88.50%
1974,Eagleby State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,41121,45293,90.80%
1974,Eagleby State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,43662.5,48024,90.90%
1974,Eagleby State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,49112,54788,89.60%
1974,Eagleby State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,52274.5,57963,90.20%
5180,Earnshaw State College,2015,State School,Combined,Major Cities of Australia,Metropolitan,Brisbane (C),Nudgee,61714,68028,90.70%
5180,Earnshaw State College,2016,State School,Combined,Major Cities of Australia,Metropolitan,Brisbane (C),Nudgee,61246.5,67651,90.50%
5180,Earnshaw State College,2017,State School,Combined,Major Cities of Australia,Metropolitan,Brisbane (C),Nudgee,60272.5,65961.5,91.40%
5180,Earnshaw State College,2018,State School,Combined,Major Cities of Australia,Metropolitan,Brisbane (C),Nudgee,65991,72765.5,90.70%
5180,Earnshaw State College,2019,State School,Combined,Major Cities of Australia,Metropolitan,Brisbane (C),Nudgee,61039,68120.5,89.60%
908,East Ayr State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,51385,54280,94.70%
908,East Ayr State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,47246,49950,94.60%
908,East Ayr State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,48692,51353,94.80%
908,East Ayr State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,50503.5,53520.5,94.40%
908,East Ayr State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,47402.5,50929.5,93.10%
877,East Brisbane State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,18807.5,19918,94.40%
877,East Brisbane State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,19438,20465,95.00%
877,East Brisbane State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,18832,19934,94.50%
877,East Brisbane State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,22755,24246,93.90%
877,East Brisbane State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),South Brisbane,22610,24127,93.70%
593,Eatons Hill State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,96625.5,102167,94.60%
593,Eatons Hill State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,97563,103086,94.60%
593,Eatons Hill State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,98200,103666,94.70%
593,Eatons Hill State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,104797.5,110608,94.70%
593,Eatons Hill State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Moreton Bay (R),Everton,100877,107083.5,94.20%
301,Edens Landing State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,67800,74411,91.10%
301,Edens Landing State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,66249,72691,91.10%
301,Edens Landing State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,64844,69675.5,93.10%
301,Edens Landing State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,69443.5,76223,91.10%
301,Edens Landing State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Macalister,65355.5,72186.5,90.50%
235,Edge Hill State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Cairns,95445,100832,94.70%
235,Edge Hill State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Cairns,96984.5,102066,95.00%
235,Edge Hill State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Cairns,102313,108454.5,94.30%
235,Edge Hill State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Cairns,106563,113117,94.20%
235,Edge Hill State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Cairns,98702.5,105950,93.20%
581,Eidsvold State School,2015,State School,Combined,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,7183.5,7826,91.80%
581,Eidsvold State School,2016,State School,Combined,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,7173.5,8643,83.00%
581,Eidsvold State School,2017,State School,Combined,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,7231,8316,87.00%
581,Eidsvold State School,2018,State School,Combined,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,7794.5,8621,90.40%
581,Eidsvold State School,2019,State School,Combined,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,6943,7655,90.70%
34,Eight Mile Plains State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,24849,26446,94.00%
34,Eight Mile Plains State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,24136.5,25819,93.50%
34,Eight Mile Plains State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,25090,26768,93.70%
34,Eight Mile Plains State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,25557.5,27190,94.00%
34,Eight Mile Plains State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,25734.5,27715,92.90%
545,Eimeo Road State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,86134,91644,94.00%
545,Eimeo Road State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,84053,89769.5,93.60%
545,Eimeo Road State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,84352.5,90145,93.60%
545,Eimeo Road State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,91104,98205.5,92.80%
545,Eimeo Road State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,84679.5,91886.5,92.20%
1758,El Arish State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Cassowary Coast (R),Hill,4864,5270,92.30%
1758,El Arish State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Cassowary Coast (R),Hill,4113.5,4506,91.30%
1758,El Arish State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Cassowary Coast (R),Hill,3301,3496,94.40%
1758,El Arish State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Cassowary Coast (R),Hill,3832.5,4118,93.10%
1758,El Arish State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Cassowary Coast (R),Hill,2911,3119,93.30%
2183,Elanora State High School,2015,State High School,Secondary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,77202.5,86381,89.40%
2183,Elanora State High School,2016,State High School,Secondary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,74958,84569,88.60%
2183,Elanora State High School,2017,State High School,Secondary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,78779,88033.5,89.50%
2183,Elanora State High School,2018,State High School,Secondary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,85782,97439.5,88.00%
2183,Elanora State High School,2019,State High School,Secondary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,83904.5,93969.5,89.30%
1923,Elanora State School,2015,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,99087,106873,92.70%
1923,Elanora State School,2016,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,97021.5,103989,93.30%
1923,Elanora State School,2017,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,91694.5,98093,93.50%
1923,Elanora State School,2018,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,93622.5,100205,93.40%
1923,Elanora State School,2019,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,89055.5,96064,92.70%
953,Elimbah State School,2015,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Glass House,46401,49823,93.10%
953,Elimbah State School,2016,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Glass House,45708,49106,93.10%
953,Elimbah State School,2017,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Glass House,43490,46213,94.10%
953,Elimbah State School,2018,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Glass House,40943.5,43899,93.30%
953,Elimbah State School,2019,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Glass House,41754.5,45304,92.20%
1347,Elliott Heads State School,2015,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,7638.5,8096,94.30%
1347,Elliott Heads State School,2016,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,8289.5,9038,91.70%
1347,Elliott Heads State School,2017,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,8881,9398,94.50%
1347,Elliott Heads State School,2018,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,9926.5,10746,92.40%
1347,Elliott Heads State School,2019,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,10305.5,11006,93.60%
1904,Emerald North State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,24477,26981,90.70%
1904,Emerald North State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,22175,24559,90.30%
1904,Emerald North State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,20754.5,22834,90.90%
1904,Emerald North State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,21269.5,23871,89.10%
1904,Emerald North State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,20838.5,23804,87.50%
2122,Emerald State High School,2015,State High School,Secondary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,67035.5,75830.5,88.40%
2122,Emerald State High School,2016,State High School,Secondary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,62417.5,70732,88.20%
2122,Emerald State High School,2017,State High School,Secondary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,62747.5,71067.5,88.30%
2122,Emerald State High School,2018,State High School,Secondary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,65688.5,74334.5,88.40%
2122,Emerald State High School,2019,State High School,Secondary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,63557.5,72506.5,87.70%
354,Emerald State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,30960,33055,93.70%
354,Emerald State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,29285.5,31294,93.60%
354,Emerald State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,26901,28631,94.00%
354,Emerald State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,29867.5,31580,94.60%
354,Emerald State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Central Highlands (R),Gregory,27991.5,29873,93.70%
154,Emu Creek State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,1365,1401,97.40%
154,Emu Creek State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,1967.5,2035,96.70%
154,Emu Creek State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,2159.5,2284,94.50%
154,Emu Creek State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,2734.5,2918,93.70%
154,Emu Creek State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,2342.5,2551,91.80%
473,Emu Park State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Livingstone (S),Keppel,41358,44584,92.80%
473,Emu Park State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Livingstone (S),Keppel,45051,49105,91.70%
473,Emu Park State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Livingstone (S),Keppel,44389,48548.5,91.40%
473,Emu Park State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Livingstone (S),Keppel,45643,50009.5,91.30%
473,Emu Park State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Livingstone (S),Keppel,41915,45900,91.30%
35,Enoggera State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,23171.5,24341,95.20%
35,Enoggera State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,23546.5,24775,95.00%
35,Enoggera State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,25092,26539,94.50%
35,Enoggera State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,27292.5,28887,94.50%
35,Enoggera State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,28192,30029,93.90%
1179,Eromanga State School,2015,State School,Primary,Very Remote Australia,Darling Downs South West,Quilpie (S),Warrego,386.5,416,92.90%
1179,Eromanga State School,2016,State School,Primary,Very Remote Australia,Darling Downs South West,Quilpie (S),Warrego,912.5,946,96.50%
1179,Eromanga State School,2017,State School,Primary,Very Remote Australia,Darling Downs South West,Quilpie (S),Warrego,895,960,93.20%
1179,Eromanga State School,2018,State School,Primary,Very Remote Australia,Darling Downs South West,Quilpie (S),Warrego,569,602,94.50%
1179,Eromanga State School,2019,State School,Primary,Very Remote Australia,Darling Downs South West,Quilpie (S),Warrego,722,767,94.10%
199,Esk State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Somerset (R),Nanango,15012.5,16114,93.20%
199,Esk State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Somerset (R),Nanango,14689.5,15619.5,94.00%
199,Esk State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Somerset (R),Nanango,15095,16346,92.30%
199,Esk State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Somerset (R),Nanango,15373.5,16867,91.10%
199,Esk State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Somerset (R),Nanango,14094.5,15337,91.90%
310,Eton State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,4171.5,4476,93.20%
310,Eton State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,4293,4721,90.90%
310,Eton State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,3763.5,4048,93.00%
310,Eton State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,2773.5,2970,93.40%
310,Eton State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,3068,3316,92.50%
682,Eudlo State School,2015,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,5752.5,6249,92.10%
682,Eudlo State School,2016,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,5254,5830,90.10%
682,Eudlo State School,2017,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,4372.5,4844,90.30%
682,Eudlo State School,2018,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,6014.5,6584,91.40%
682,Eudlo State School,2019,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,4528,4922,92.00%
222,Eulo State School,2015,State School,Primary,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,515,556,92.60%
222,Eulo State School,2016,State School,Primary,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,258.5,289,89.40%
222,Eulo State School,2017,State School,Primary,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,885.5,921,96.10%
222,Eulo State School,2018,State School,Primary,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,1138.5,1195,95.30%
222,Eulo State School,2019,State School,Primary,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,921.5,992,92.90%
698,Eumundi State School,2015,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Ninderry,51789,55901,92.60%
698,Eumundi State School,2016,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Ninderry,54553,58547,93.20%
698,Eumundi State School,2017,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Ninderry,54030,58012.5,93.10%
698,Eumundi State School,2018,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Ninderry,59286,63670,93.10%
698,Eumundi State School,2019,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Ninderry,58350,62952.5,92.70%
1353,Eungella State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,2872,3190,90.00%
1353,Eungella State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,2932,3170,92.50%
1353,Eungella State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,3364,3630,92.70%
1353,Eungella State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,3390.5,3686,92.00%
1353,Eungella State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,2911,3245,89.70%
2061,Everton Park State High School,2015,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,21721,24293,89.40%
2061,Everton Park State High School,2016,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,20313,22492,90.30%
2061,Everton Park State High School,2017,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,22293.5,25482.5,87.50%
2061,Everton Park State High School,2018,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,28483,32275.5,88.20%
2061,Everton Park State High School,2019,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,31639.5,36938,85.70%
1185,Everton Park State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,44051.5,46472,94.80%
1185,Everton Park State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,42814,45390,94.30%
1185,Everton Park State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,44214.5,46879,94.30%
1185,Everton Park State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,49425,52140,94.80%
1185,Everton Park State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Everton,47987.5,51047,94.00%
