Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2089,,1155,2598,10,99,589,10,96,1095,1203,11918
2090,,1160,2605,10,100,595,10,97,1129,1206,13724
2092,,1179,2628,10,100,613,10,100,1125,1209,7139
2093,,1145,2578,10,99,573,10,94,981,1209,22873
2094,,1160,2608,10,100,596,10,97,1096,1182,5840
2095,,1147,2586,10,99,580,10,95,1022,1194,15866
2096,,1145,2580,10,99,575,10,94,1096,1199,14657
2097,,1120,2506,10,96,542,9,89,994,1191,15529
2099,,1069,2243,9,86,481,8,79,856,1181,39925
2100,,1109,2464,10,94,531,9,87,797,1209,20911
2101,,1093,2385,10,91,510,9,83,866,1182,19395
2102,,1123,2520,10,96,548,9,90,1060,1177,7501
2103,,1101,2429,10,93,518,9,85,1033,1146,10670
2104,,1119,2502,10,96,541,9,88,1023,1192,3620
2105,,1131,2547,10,97,559,10,91,1090,1179,1848
2106,,1120,2509,10,96,543,9,89,1041,1173,9301
2107,,1136,2556,10,98,564,10,92,1031,1194,14669
2108,,1132,2549,10,97,561,10,92,1090,1156,1673
2109,,1091,2373,10,91,509,9,83,924,1129,3086
2110,,1151,2593,10,99,584,10,95,989,1204,10343
2111,,1114,2483,10,95,536,9,88,887,1182,14412
2112,,1086,2350,9,90,506,9,83,981,1165,32852
2113,,1099,2420,10,93,515,9,84,756,1161,18371
2114,,1083,2335,9,89,502,9,82,961,1147,24057
2115,,1030,1901,8,73,411,7,67,918,1113,10737
2116,,1022,1820,7,70,397,7,65,931,1093,6642
2117,,1041,2018,8,77,434,8,71,707,1132,21285
2118,,1086,2348,9,90,505,9,83,956,1158,24341
2119,,1164,2615,10,100,603,10,99,1117,1200,11643
2120,,1131,2548,10,97,560,10,92,1046,1190,20208
2121,,1120,2510,10,96,544,9,89,1056,1168,28214
2122,,1077,2294,9,88,489,8,80,958,1147,31160
2125,,1159,2604,10,100,594,10,97,1039,1209,16374
2126,,1145,2576,10,98,571,10,93,1036,1187,18765
2127,,1129,2544,10,97,557,10,91,1112,1172,14532
2128,,1023,1844,8,71,403,7,66,976,1105,4166
2130,,1095,2396,10,92,511,9,84,1042,1156,7311
2131,,1038,1995,8,76,430,7,70,950,1109,23841
2132,,1065,2212,9,85,474,8,78,989,1114,10612
2133,,1043,2037,8,78,438,8,72,949,1089,11012
2134,,1034,1946,8,74,420,7,69,952,1108,16033
2135,,1078,2300,9,88,492,9,81,961,1176,25251
2136,,1056,2141,9,82,458,8,75,947,1105,7364
2137,,1102,2432,10,93,519,9,85,985,1199,26507
2138,,1112,2476,10,95,534,9,87,1047,1147,20023
2140,,1047,2068,8,79,442,8,72,948,1115,16167
2141,,989,1388,6,53,323,6,53,833,1146,28675
2142,,941,716,3,28,186,4,31,816,1071,26292
2143,,958,944,4,36,238,4,39,879,1091,8921
2144,,909,334,2,13,86,2,14,792,1028,37366
2145,,1027,1876,8,72,407,7,67,789,1211,79211
2146,,1026,1869,8,72,405,7,66,665,1076,17465
2147,,1004,1590,7,61,361,6,59,665,1131,36341
2148,,973,1163,5,45,282,5,46,640,1169,63071
2150,,1034,1949,8,75,421,7,69,851,1115,31500
2151,,1061,2177,9,83,464,8,76,911,1164,21306
2152,,1061,2182,9,83,465,8,76,933,1183,11215
2153,,1115,2487,10,95,537,9,88,970,1210,56562
2154,,1127,2534,10,97,554,10,91,912,1208,39594
2155,,1144,2575,10,98,570,10,93,871,1188,55452
2156,,1135,2553,10,98,563,10,92,1052,1190,12942
2157,,1080,2316,9,89,495,9,81,1039,1110,3741
2158,,1115,2488,10,95,538,9,88,991,1170,8575
2159,,1106,2449,10,94,527,9,86,1057,1153,4975
2160,,937,652,3,25,168,3,28,798,1088,35973
2161,,907,316,2,13,79,2,13,782,990,31418
2162,,913,382,2,15,98,2,16,744,970,18622
2163,,817,48,1,2,8,1,2,690,924,9590
2164,,922,465,2,18,118,2,20,729,1009,19624
2165,,866,117,1,5,26,1,5,676,979,42444
2166,,846,79,1,4,14,1,3,725,1000,52762
2167,,1017,1769,7,68,389,7,64,849,1120,9633
2168,,885,178,1,7,37,1,7,480,1040,43451
2170,,953,869,4,34,223,4,37,710,1156,105451
2171,,1050,2100,8,80,449,8,74,869,1120,34866
2172,,1146,2585,10,99,579,10,95,1122,1173,2781
2173,,1082,2328,9,89,499,9,82,1027,1107,14433
2174,,1103,2439,10,93,524,9,86,1074,1110,2267
2175,,1012,1720,7,66,385,7,63,916,1042,1837
2176,,964,1015,4,39,259,5,43,842,1116,47809
2177,,913,380,2,15,97,2,16,672,1043,15979
2178,,1021,1812,7,69,396,7,65,916,1119,4230
2179,,999,1527,6,59,346,6,57,861,1097,6530
2190,,939,689,3,27,178,3,29,802,1072,25566
2191,,1011,1706,7,65,382,7,63,974,1035,6322
2192,,940,694,3,27,180,3,30,893,1013,12718
2193,,1045,2045,8,78,440,8,72,964,1115,15256
2194,,952,851,4,33,218,4,36,867,1047,24541
2195,,890,214,1,9,49,1,8,838,975,27154
2196,,939,685,3,27,176,3,29,776,1046,31815
2197,,936,632,3,25,162,3,27,816,1074,9069
2198,,1006,1634,7,63,371,7,61,941,1044,9038
2199,,928,537,3,21,136,3,23,776,995,18013
2200,,926,521,2,20,131,3,22,806,1024,43687
2203,,1072,2261,9,86,482,8,79,1014,1139,13707
2204,,1050,2094,8,80,448,8,73,671,1182,26502
2205,,1042,2026,8,78,437,8,72,881,1117,19447
2206,,1047,2069,8,79,443,8,73,947,1103,19404
2207,,1023,1838,7,70,401,7,66,893,1096,28534
2208,,1025,1861,8,71,404,7,66,941,1095,12446
2209,,1004,1595,7,61,363,6,60,805,1070,15769
2210,,1001,1558,6,60,355,6,58,593,1138,30586
2211,,1018,1775,7,68,390,7,64,884,1106,16846
2212,,1006,1629,7,62,368,6,60,884,1116,15847
2213,,1037,1981,8,76,428,7,70,933,1119,21784
2214,,1047,2067,8,79,441,8,72,1007,1094,3952
2216,,1012,1715,7,66,384,7,63,893,1091,28067
2217,,1036,1977,8,76,427,7,70,967,1128,26843
2218,,1015,1751,7,67,387,7,63,963,1074,16431
2219,,1041,2016,8,77,433,8,71,953,1121,13200
2220,,1018,1780,7,68,391,7,64,930,1131,32487
2221,,1082,2330,9,89,500,9,82,974,1169,16481
2222,,1029,1900,8,73,410,7,67,955,1135,12786
2223,,1082,2331,9,89,501,9,82,971,1176,20910
2224,,1075,2279,9,87,486,8,80,893,1189,14213
2225,,1141,2570,10,98,569,10,93,1070,1176,5407
2226,,1102,2433,10,93,520,9,85,987,1187,12504
2227,,1096,2401,10,92,513,9,84,991,1182,14626
2228,,1051,2108,9,81,452,8,74,915,1162,18361
2229,,1088,2360,9,90,507,9,83,904,1183,28718
2230,,1096,2399,10,92,512,9,84,1019,1208,28843
2231,,1034,1950,8,75,422,7,69,992,1208,2267
2232,,1076,2292,9,88,488,8,80,927,1155,32870
2233,,1082,2326,9,89,498,9,81,959,1145,29498
2234,,1108,2461,10,94,530,9,87,862,1164,30580
2250,,998,1520,6,58,343,6,56,612,1163,67194
2251,,1028,1890,8,72,409,7,67,747,1128,32702
2256,,950,823,4,32,209,4,34,791,1078,15598
2257,,966,1061,5,41,265,5,44,844,1107,29010
2258,,1031,1918,8,73,414,7,68,951,1125,5164
