Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2579,,988,1381,6,53,322,6,53,879,1116,4029
2580,,949,820,4,32,208,4,34,696,1115,29224
2581,,1032,1928,8,74,415,7,68,946,1151,2095
2582,,1051,2106,9,81,450,8,74,940,1190,12442
2583,,967,1083,5,42,268,5,44,899,1056,4382
2584,,974,1180,5,45,286,5,47,946,1020,543
2585,,978,1220,5,47,289,5,47,977,999,224
2586,,955,910,4,35,230,4,38,895,1062,2619
2587,,928,549,3,21,140,3,23,848,1053,2917
2588,,994,1464,6,56,334,6,55,994,994,260
2590,,921,456,2,18,116,2,19,789,1042,7093
2594,,926,522,2,20,132,3,22,764,1044,11672
2600,,1157,2601,10,99,22,9,89,1065,1191,7247
2601,,1160,2606,10,100,23,10,93,1098,1186,6363
2602,,1091,2375,10,91,11,5,45,994,1196,30450
2603,,1139,2566,10,98,21,9,85,697,1213,9359
2604,,1117,2496,10,95,17,7,69,938,1199,10383
2605,,1127,2537,10,97,20,9,81,1027,1196,11725
2606,,1077,2299,9,88,8,4,33,945,1182,9422
2607,,1107,2458,10,94,15,7,61,979,1180,13614
2609,,902,287,2,11,1,1,5,764,1120,887
2611,,1107,2459,10,94,16,7,65,977,1239,28018
2612,,1120,2505,10,96,18,8,73,834,1189,16184
2614,,1085,2343,9,90,10,5,41,934,1179,19390
2615,,1051,2111,9,81,3,2,13,861,1157,44177
2617,,1083,2333,9,89,9,4,37,873,1180,32503
2618,,1121,2514,10,96,545,9,89,1094,1150,1445
2619,,1146,2584,10,99,578,10,94,1062,1222,9508
2620,,1034,1953,8,75,423,7,69,710,1195,39289
2621,,1121,2515,10,96,546,9,89,1047,1169,6056
2622,,1002,1570,6,60,359,6,59,930,1088,3922
2623,,980,1239,5,48,294,5,48,954,1050,610
2625,,1064,2207,9,84,472,8,77,1064,1064,389
2626,,1030,1906,8,73,412,7,67,1021,1049,500
2627,,1034,1945,8,74,419,7,69,975,1077,4622
2628,,980,1252,5,48,300,5,49,918,1055,1912
2629,,973,1158,5,45,281,5,46,880,1055,529
2630,,962,995,4,38,250,5,41,856,1072,8691
2631,,959,961,4,37,241,4,40,884,1075,570
2632,,938,664,3,26,171,3,28,894,1050,1834
2633,,902,283,2,11,70,2,12,843,1050,379
2640,,987,1364,6,52,320,6,53,642,1151,36343
2641,,882,165,1,7,33,1,6,733,1059,15070
2642,,1001,1556,6,60,354,6,58,875,1091,4793
2643,,940,696,3,27,181,3,30,911,1000,2777
2644,,953,877,4,34,224,4,37,864,1091,2403
2645,,910,344,2,14,89,2,15,866,1062,402
2646,,935,623,3,24,160,3,27,822,1085,6758
2647,,947,792,4,31,203,4,34,901,1063,2161
2648,,909,333,2,13,85,2,14,835,1053,2369
2649,,985,1334,6,51,316,6,52,979,1055,26
2650,,977,1214,5,47,288,5,47,578,1142,56974
2651,,958,940,4,36,237,4,39,881,1063,2274
2652,,979,1227,5,47,291,5,48,837,1084,4583
2653,,928,544,3,21,139,3,23,875,1027,2537
2655,,971,1136,5,44,277,5,46,890,1072,1336
2656,,955,901,4,35,229,4,38,906,1062,1272
2658,,933,599,3,23,154,3,26,873,1041,1433
2659,,950,827,4,32,211,4,35,875,1032,893
2660,,936,644,3,25,166,3,27,874,1052,1610
2661,,1100,2424,10,93,517,9,85,1100,1100,633
2663,,901,281,2,11,68,2,12,811,1054,5186
2665,,964,1032,4,40,261,5,43,851,1060,2226
2666,,941,702,3,27,183,3,30,808,1053,5673
2668,,899,266,2,11,65,2,11,754,1052,459
2669,,984,1316,6,51,313,6,51,845,1044,1654
2671,,952,853,4,33,220,4,36,909,1067,4112
2672,,917,425,2,17,107,2,18,843,1039,1576
2675,,951,839,4,32,213,4,35,892,1058,1562
2680,,942,733,3,28,191,4,32,584,1113,23940
2681,,958,939,4,36,236,4,39,889,1060,1732
2700,,907,319,2,13,80,2,14,747,1085,4922
2701,,974,1178,5,45,285,5,47,859,1084,2388
2702,,930,566,3,22,145,3,24,904,1005,779
2703,,917,427,2,17,108,2,18,840,990,984
2705,,936,630,3,24,161,3,27,727,1054,10153
2706,,888,191,1,8,41,1,7,836,1029,1162
2707,,979,1236,5,47,292,5,48,896,1085,1348
2710,,937,650,3,25,167,3,28,776,1095,10123
2711,,933,596,3,23,153,3,25,806,1073,3360
2712,,926,519,2,20,130,3,22,828,1063,1356
2713,,934,616,3,24,158,3,26,836,1088,2797
2714,,936,634,3,25,163,3,27,885,1025,2769
2715,,915,404,2,16,101,2,17,874,1031,1477
2716,,951,842,4,33,214,4,35,881,1095,1102
2717,,884,175,1,7,36,1,6,767,994,1330
2720,,934,613,3,24,156,3,26,802,1057,8012
2721,,1004,1591,7,61,362,6,59,992,1033,240
2722,,925,510,2,20,128,3,21,841,1027,3207
2725,,917,418,2,16,104,2,17,841,1006,374
2726,,999,1533,6,59,348,6,57,999,999,222
2727,,1008,1675,7,64,377,7,62,997,1024,350
2729,,957,937,4,36,234,4,39,876,1062,1696
2730,,897,253,1,10,59,1,10,839,1062,1391
2731,,984,1310,5,50,311,6,51,835,1082,6410
2732,,949,819,4,32,207,4,34,880,1050,1776
2733,,928,540,3,21,137,3,23,846,1038,545
2734,,1049,2087,8,80,447,8,73,1031,1058,456
2735,,945,761,3,29,195,4,32,916,1050,448
2736,,982,1268,5,49,302,5,50,968,994,377
2737,,951,835,4,32,212,4,35,902,1028,839
2738,,1019,1793,7,69,394,7,65,974,1058,1667
2739,,962,993,4,38,249,5,41,873,1058,1401
2745,,1065,2217,9,85,475,8,78,866,1142,29504
2747,,979,1237,5,48,293,5,48,821,1129,42421
2748,,1049,2084,8,80,445,8,73,994,1091,1877
2749,,999,1532,6,59,347,6,57,607,1122,16930
2750,,982,1288,5,49,308,6,51,737,1126,44806
2752,,1019,1792,7,69,393,7,64,869,1124,4918
2753,,998,1523,6,58,345,6,57,877,1118,17134
2754,,1001,1548,6,59,351,6,58,871,1075,5693
2755,,991,1412,6,54,327,6,54,991,991,261
2756,,1006,1636,7,63,372,7,61,808,1141,33932
2757,,1047,2070,8,79,444,8,73,1045,1049,852
2758,,1078,2301,9,88,493,9,81,992,1135,8715
2759,,1006,1630,7,62,369,7,61,932,1071,26332
2760,,924,498,2,19,125,3,21,776,1104,33834
2761,,1001,1546,6,59,350,6,57,907,1194,30952
2762,,1059,2170,9,83,462,8,76,983,1150,4983
2763,,1051,2107,9,81,451,8,74,838,1175,30880
2765,,1004,1603,7,61,364,6,60,843,1143,16106
2766,,984,1313,5,50,312,6,51,919,1083,15534
2767,,985,1337,6,51,317,6,52,660,1156,22530
2768,,1117,2493,10,95,540,9,88,828,1184,28762
2769,,1168,2621,10,100,607,10,99,1074,1184,11731
2770,,851,89,1,4,16,1,3,611,1070,61296
2773,,1112,2474,10,95,533,9,87,1041,1152,6010
2774,,1074,2276,9,87,485,8,79,965,1135,12932
2775,,973,1156,5,44,280,5,46,937,1057,1498
2776,,1062,2185,9,84,467,8,76,1019,1117,4025
2777,,1062,2191,9,84,468,8,77,961,1115,17601
2778,,1051,2112,9,81,453,8,74,1003,1076,2432
2779,,1023,1841,8,71,402,7,66,985,1066,4974
2780,,988,1368,6,53,321,6,53,834,1104,13224
2782,,1032,1936,8,74,416,7,68,981,1100,6076
2783,,1001,1550,6,59,352,6,58,970,1033,2614
2784,,1035,1967,8,75,425,7,70,1012,1051,1230
2785,,1003,1586,7,61,360,6,59,973,1057,4543
2786,,971,1132,5,44,275,5,45,909,1059,1288
2787,,940,691,3,27,179,3,30,834,1091,4448
2790,,908,328,2,13,84,2,14,647,1070,15767
2791,,960,977,4,38,246,5,41,895,1049,343
2792,,982,1287,5,49,307,5,50,973,1049,384
2793,,900,274,2,11,67,2,11,764,1002,976
2794,,905,306,2,12,75,2,13,689,1053,10428
2795,,974,1176,5,45,284,5,47,683,1145,42550
2797,,933,591,3,23,151,3,25,908,973,426
2798,,1058,2154,9,82,461,8,75,987,1112,2101
2799,,929,557,3,22,143,3,24,855,1098,4121
2800,,979,1224,5,47,290,5,48,634,1151,44993
2803,,980,1251,5,48,299,5,49,980,980,281
2804,,942,724,3,28,189,4,31,837,1024,2668
2805,,917,420,2,16,105,2,18,880,1024,399
2806,,933,600,3,23,155,3,26,902,1007,779
2807,,855,96,1,4,19,1,4,790,1022,427
2808,,922,476,2,19,122,2,20,902,996,182
2809,,997,1509,6,58,342,6,56,997,997,240
2810,,941,701,3,27,182,3,30,815,1095,3150
2817,,1006,1632,7,63,370,7,61,1006,1006,287
2818,,987,1356,6,52,319,6,52,949,1056,871
2820,,894,233,1,9,54,1,9,702,1056,7316
2821,,925,507,2,20,126,3,21,763,1065,4810
2822,,962,999,4,38,253,5,42,942,1020,410
2823,,933,588,3,23,149,3,25,828,1046,1425
2824,,919,437,2,17,111,2,19,842,1091,2183
2825,,932,579,3,23,146,3,24,877,1062,2383
2826,,1062,2184,9,84,466,8,76,1062,1062,201
2827,,890,206,1,8,48,1,8,753,1045,3691
2828,,898,259,1,10,61,1,10,733,1103,831
2829,,884,172,1,7,35,1,6,790,1103,3102
2830,,962,996,4,38,251,5,41,654,1129,40291
2831,,984,1320,6,51,315,6,52,816,1044,1919
2832,,870,131,1,5,28,1,5,696,1039,2568
2833,,843,69,1,3,13,1,3,768,1067,650
2834,,817,47,1,2,7,1,2,747,933,2340
2835,,953,882,4,34,226,4,37,890,1049,4173
2836,,827,55,1,3,10,1,2,632,991,891
2838,,792,27,1,2,4,1,1,738,933,247
2839,,819,49,1,2,9,1,2,796,929,1338
2840,,933,592,3,23,152,3,25,813,1042,2695
2842,,886,186,1,8,39,1,7,806,1045,630
2843,,946,784,3,30,201,4,33,823,1084,1290
2844,,929,556,3,22,142,3,24,867,1001,1437
2845,,900,271,2,11,66,2,11,821,1036,1980
2846,,939,684,3,27,175,3,29,938,939,275
2847,,888,196,1,8,43,1,7,792,1037,2424
2848,,798,29,1,2,5,1,1,733,850,1645
2849,,946,777,3,30,200,4,33,816,1001,1546
2850,,959,964,4,37,243,4,40,724,1111,17644
2852,,922,466,2,18,119,2,20,878,1045,3543
2864,,1011,1711,7,66,383,7,63,940,1112,804
2865,,939,686,3,27,177,3,29,868,1026,865
2866,,982,1275,5,49,305,5,50,855,1059,3093
2867,,957,931,4,36,232,4,38,868,1052,602
2868,,911,359,2,14,95,2,16,827,1056,652
2869,,889,204,1,8,47,1,8,739,994,1449
2870,,930,563,3,22,144,3,24,754,1053,12042
2871,,936,642,3,25,165,3,27,756,1067,9349
2873,,981,1264,5,49,301,5,49,932,1058,561
2874,,982,1282,5,49,306,5,50,921,1050,424
2875,,948,806,4,31,205,4,34,854,1043,973
2876,,983,1308,5,50,310,6,51,961,1032,421
2877,,901,282,2,11,69,2,12,726,1058,3883
2878,,941,711,3,28,185,4,31,886,1073,372
2879,,862,108,1,5,21,1,4,795,1053,638
2880,,892,222,1,9,51,1,9,788,1106,18276
2898,,1028,1888,8,72,408,7,67,1028,1028,382
2899,,975,1187,5,46,2,6,51,927,1020,1748
2900,,1065,2219,9,85,7,3,29,1013,1114,1930
2902,,1058,2161,9,83,5,3,21,942,1176,14900
2903,,1059,2168,9,83,6,3,25,915,1147,9207
2904,,1103,2438,10,93,14,6,57,967,1179,12863
2905,,1047,2065,8,79,2,1,9,942,1164,28625
2906,,1058,2159,9,83,4,2,17,940,1156,17633
2911,,1171,2626,10,100,24,10,97,1092,1214,4466
2912,,1095,2395,10,92,12,5,49,1008,1153,6142
2913,,1096,2405,10,92,13,6,53,984,1223,35053
2914,,1127,2536,10,97,19,8,77,996,1216,25204
3000,,1043,2035,8,78,525,8,76,965,1187,37975
3002,,1160,2607,10,100,694,10,100,1081,1199,4964
3003,,1101,2430,10,93,644,10,93,1063,1148,5515
3004,,1128,2540,10,97,680,10,98,897,1187,9307
3005,,1121,2513,10,96,673,10,97,1121,1121,525
3006,,1117,2494,10,95,665,10,96,1058,1180,18808
3008,,1119,2500,10,96,667,10,96,1050,1180,10437
3011,,1016,1760,7,67,443,7,64,844,1116,21462
3012,,1011,1704,7,65,421,7,61,910,1138,26298
3013,,1089,2363,9,90,620,9,90,1032,1124,14965
3015,,1089,2366,9,90,621,9,90,748,1167,17472
3016,,1091,2380,10,91,628,10,91,911,1169,15560
3018,,1031,1923,8,74,497,8,72,897,1106,12689
3019,,874,144,1,6,16,1,3,783,994,9195
3020,,901,277,2,11,40,1,6,801,1084,44783
3021,,870,130,1,5,15,1,3,779,1040,54191
3022,,911,357,2,14,59,1,9,881,948,3103
3023,,984,1328,6,51,298,5,43,825,1124,63972
3024,,972,1147,5,44,246,4,36,870,1095,23849
3025,,955,897,4,35,180,3,26,748,1021,12152
3026,,635,1,1,1,1,1,1,635,635,73
3027,,1090,2371,10,91,623,9,90,1013,1132,6646
3028,,964,1020,4,39,214,4,31,859,1041,29201
3029,,992,1428,6,55,328,5,48,876,1070,93950
3030,,1015,1746,7,67,437,7,63,737,1135,100313
3031,,1019,1786,7,68,450,7,65,565,1176,18531
3032,,1052,2122,9,81,548,8,79,534,1159,29450
3033,,1022,1826,7,70,466,7,68,927,1125,14514
3034,,997,1499,6,57,349,6,51,922,1075,11633
3036,,1064,2209,9,84,573,9,83,980,1138,5925
3037,,1000,1539,6,59,365,6,53,756,1103,51155
3038,,1010,1692,7,65,417,7,61,923,1087,27262
3039,,1089,2362,9,90,619,9,90,959,1142,14250
3040,,1087,2355,9,90,616,9,89,1024,1151,25936
3041,,1086,2349,9,90,615,9,89,1036,1141,12412
3042,,1021,1810,7,69,459,7,67,946,1125,15766
3043,,972,1144,5,44,245,4,36,866,1111,17716
3044,,1039,2007,8,77,514,8,74,881,1101,27116
3045,,1061,2179,9,83,566,9,82,1061,1061,104
3046,,969,1102,5,42,238,4,35,765,1113,34063
3047,,821,52,1,2,3,1,1,557,903,20903
3048,,840,67,1,3,6,1,1,734,905,18029
3049,,988,1372,6,53,315,5,46,858,1111,9262
3050,,1107,2454,10,94,654,10,95,1107,1107,117
3051,,1028,1885,8,72,488,8,71,555,1146,14940
3052,,1098,2411,10,92,636,10,92,1025,1153,5694
3053,,1009,1686,7,65,415,6,60,635,1168,18535
3054,,1120,2504,10,96,669,10,97,986,1169,8428
3055,,1052,2116,9,81,546,8,79,929,1123,14159
3056,,1081,2321,9,89,610,9,88,949,1151,24473
3057,,1091,2376,10,91,626,10,91,1047,1137,11504
3058,,1037,1984,8,76,510,8,74,919,1127,33778
3059,,1049,2088,8,80,540,8,78,994,1122,15466
3060,,925,511,2,20,93,2,14,876,974,14043
3061,,844,74,1,3,9,1,2,770,887,5056
3063,,1059,2172,9,83,563,9,82,1028,1070,573
3064,,957,932,4,36,191,3,28,861,1081,75457
3065,,1022,1817,7,70,462,7,67,551,1186,10445
3066,,999,1529,6,59,362,6,53,516,1181,8513
3067,,1114,2482,10,95,661,10,96,1067,1178,8197
3068,,1113,2479,10,95,660,10,95,907,1178,18662
3070,,1094,2390,10,91,631,10,91,995,1140,24561
3071,,1057,2152,9,82,557,9,81,967,1122,18568
3072,,1011,1714,7,66,425,7,62,800,1106,32851
3073,,960,970,4,37,202,3,30,781,1067,50474
3074,,888,199,1,8,24,1,4,848,973,20523
3075,,906,310,2,12,49,1,8,819,1040,22594
3076,,966,1063,5,41,228,4,33,886,1076,32395
3078,,1101,2427,10,93,642,10,93,1038,1149,11638
3079,,1114,2486,10,95,662,10,96,1028,1178,15988
3081,,942,731,3,28,136,2,20,798,1074,13424
3082,,995,1481,6,57,344,5,50,933,1083,29710
3083,,1015,1747,7,67,438,7,64,907,1113,31526
3084,,1088,2359,9,90,618,9,89,999,1184,25517
3085,,1071,2251,9,86,590,9,85,995,1201,13886
3087,,1023,1833,7,70,468,7,68,867,1082,9031
3088,,1059,2171,9,83,562,9,81,963,1113,26892
3089,,1077,2295,9,88,602,9,87,1001,1158,11733
3090,,1116,2492,10,95,664,10,96,1072,1139,2364
3091,,1097,2408,10,92,635,10,92,1050,1125,1588
3093,,1105,2445,10,93,649,10,94,1044,1157,3891
3094,,1073,2271,9,87,598,9,87,1035,1139,8960
3095,,1104,2441,10,93,647,10,94,1005,1150,27771
3096,,1061,2178,9,83,565,9,82,1034,1097,1961
3097,,1124,2527,10,97,677,10,98,1092,1162,1443
3099,,1065,2218,9,85,578,9,84,1003,1116,4878
3101,,1134,2551,10,97,683,10,99,1055,1185,24605
3102,,1120,2508,10,96,671,10,97,1075,1173,6635
3103,,1106,2450,10,94,652,10,94,1007,1173,15343
3104,,1109,2462,10,94,656,10,95,1019,1175,20406
3105,,1053,2131,9,82,551,8,80,994,1142,10873
3106,,1098,2417,10,92,639,10,92,1026,1158,16618
3107,,1072,2259,9,86,593,9,86,1012,1114,13552
3108,,1051,2104,9,81,545,8,79,981,1100,20826
3109,,1064,2210,9,85,574,9,83,994,1177,28360
3111,,1090,2370,10,91,622,9,90,1016,1170,12347
3113,,1122,2519,10,96,674,10,97,1026,1167,8457
3114,,1141,2569,10,98,688,10,99,1079,1181,3822
3115,,1108,2460,10,94,655,10,95,1066,1147,3796
3116,,1033,1939,8,74,499,8,72,959,1119,9872
3121,,1081,2324,9,89,611,9,88,578,1180,30499
3122,,1118,2498,10,95,666,10,96,1018,1195,23511
3123,,1127,2535,10,97,678,10,98,1084,1182,14321
3124,,1137,2561,10,98,686,10,99,1064,1211,22094
3125,,1050,2102,8,80,543,8,79,824,1133,15019
3126,,1150,2590,10,99,693,10,100,1096,1180,8056
3127,,1138,2565,10,98,687,10,99,1036,1177,18445
3128,,1046,2059,8,79,532,8,77,963,1123,19828
3129,,1068,2235,9,85,586,9,85,991,1149,17376
3130,,1071,2255,9,86,591,9,86,677,1180,32174
3131,,1042,2022,8,77,519,8,75,840,1099,22504
3132,,1065,2214,9,85,576,9,83,983,1134,16148
3133,,1072,2260,9,86,594,9,86,999,1140,22125
3134,,1051,2103,8,80,544,8,79,869,1192,32781
3135,,1046,2053,8,79,531,8,77,932,1112,19956
3136,,1026,1871,8,72,482,7,70,889,1136,44369
3137,,1002,1574,6,60,372,6,54,917,1114,13871
3138,,1014,1739,7,67,434,7,63,929,1113,21967
3139,,998,1519,6,58,361,6,52,894,1106,13718
3140,,1006,1626,7,62,395,6,57,855,1101,16531
3141,,1109,2463,10,94,657,10,95,635,1175,25147
3142,,1144,2574,10,98,691,10,100,1098,1196,12909
3143,,1120,2507,10,96,670,10,97,1039,1182,9054
3144,,1146,2581,10,99,692,10,100,1068,1205,10886
3145,,1119,2501,10,96,668,10,97,1019,1194,23295
3146,,1142,2571,10,98,689,10,100,1066,1205,25255
3147,,1080,2314,9,88,608,9,88,867,1185,14637
3148,,1043,2033,8,78,524,8,76,957,1098,8641
3149,,1081,2319,9,89,609,9,88,1022,1163,33611
3150,,1076,2286,9,87,600,9,87,959,1151,60079
3151,,1036,1976,8,76,508,8,74,983,1123,10273
3152,,1054,2134,9,82,553,8,80,785,1144,33092
3153,,991,1418,6,54,325,5,47,909,1138,20554
3154,,1028,1884,8,72,487,8,71,980,1124,4419
3155,,992,1426,6,55,326,5,47,926,1078,22195
3156,,1028,1893,8,72,491,8,71,897,1147,37464
3158,,1052,2123,9,81,549,8,79,1007,1105,6652
3159,,1063,2199,9,84,570,9,83,1041,1104,2648
3160,,1052,2120,9,81,547,8,79,1007,1100,9014
3161,,1123,2525,10,97,676,10,98,1042,1196,15269
3162,,1112,2475,10,95,658,10,95,1064,1181,17448
3163,,1078,2307,9,88,605,9,88,1026,1132,32353
3165,,1072,2262,9,87,595,9,86,1022,1115,27635
3166,,1049,2082,8,80,537,8,78,910,1110,23757
3167,,1027,1882,8,72,486,7,70,968,1083,9261
3168,,1025,1857,8,71,479,7,69,964,1095,20197
3169,,970,1124,5,43,241,4,35,872,1037,20122
3170,,1041,2015,8,77,518,8,75,964,1138,19368
3171,,888,197,1,8,23,1,4,834,973,21714
3172,,965,1034,4,40,220,4,32,838,1099,23089
3173,,996,1486,6,57,347,5,50,876,1131,25785
3174,,909,338,2,13,55,1,8,824,995,38461
3175,,895,243,1,10,34,1,5,754,1034,53297
3177,,844,73,1,3,8,1,2,775,915,11306
3178,,1063,2204,9,84,571,9,83,932,1135,33672
3179,,1027,1880,8,72,484,7,70,990,1075,6022
3180,,1025,1858,8,71,480,7,70,982,1094,7462
3181,,1102,2435,10,93,646,10,93,841,1162,20260
3182,,1084,2337,9,89,614,9,89,887,1174,23391
3183,,1091,2374,10,91,625,9,90,1005,1139,18497
3184,,1116,2490,10,95,663,10,96,1049,1170,15543
3185,,1106,2452,10,94,653,10,94,1020,1175,12929
3186,,1144,2573,10,98,690,10,100,937,1189,23253
3187,,1123,2523,10,96,675,10,98,883,1183,15998
3188,,1106,2448,10,94,651,10,94,857,1187,18083
3189,,1048,2074,8,79,535,8,77,993,1084,5895
3190,,1070,2246,9,86,588,9,85,953,1164,10454
3191,,1129,2541,10,97,681,10,98,950,1175,10241
3192,,1054,2132,9,82,552,8,80,975,1141,22291
3193,,1136,2557,10,98,684,10,99,1097,1169,19508
3194,,1065,2221,9,85,579,9,84,1012,1161,12965
3195,,1080,2312,9,88,607,9,88,838,1157,35869
3196,,1029,1895,8,73,493,8,71,925,1101,25327
3197,,1041,2014,8,77,517,8,75,953,1124,11548
3198,,975,1185,5,46,260,4,38,867,1053,16463
3199,,984,1322,6,51,295,5,43,836,1161,54298
3200,,822,53,1,3,4,1,1,770,889,5762
3201,,948,817,4,32,156,3,23,787,1009,20711
3202,,1065,2225,9,85,581,9,84,985,1139,2907
3204,,1092,2381,10,91,629,10,91,1008,1154,30635
3205,,1079,2311,9,88,606,9,88,645,1162,10920
3206,,1136,2558,10,98,685,10,99,1030,1174,10359
3207,,1113,2478,10,95,659,10,95,920,1192,16175
3211,,1029,1894,8,73,492,8,71,1005,1047,1322
3212,,1000,1534,6,59,364,6,53,936,1063,16652
3213,,1013,1735,7,66,432,7,63,842,1107,4033
3214,,802,35,1,2,2,1,1,658,1137,23964
3215,,953,878,4,34,174,3,26,821,1096,20616
3216,,1019,1790,7,69,452,7,66,890,1154,56284
3217,,1068,2231,9,85,584,9,85,1031,1099,6607
3218,,1007,1652,7,63,402,6,58,885,1079,13437
3219,,910,345,2,14,56,1,9,741,1065,19715
3220,,1062,2189,9,84,568,9,82,901,1136,16353
3221,,1098,2416,10,92,638,10,92,1087,1111,749
3222,,991,1409,6,54,324,5,47,888,1112,14960
3223,,947,794,4,31,148,3,22,843,1047,7397
3224,,984,1323,6,51,296,5,43,794,1056,14187
3225,,1065,2224,9,85,580,9,84,1011,1126,4058
3226,,1040,2010,8,77,516,8,75,984,1129,14165
3227,,1087,2357,9,90,617,9,89,1052,1126,4819
3228,,1083,2332,9,89,612,9,89,1011,1149,17939
3230,,1045,2048,8,78,529,8,77,1008,1090,2545
3231,,1062,2194,9,84,569,9,82,1041,1086,1256
3232,,1034,1959,8,75,504,8,73,1025,1050,1114
3233,,977,1209,5,46,268,4,39,943,1045,2030
3234,,1045,2046,8,78,528,8,76,1045,1045,181
3235,,1058,2157,9,83,558,9,81,1050,1059,381
3236,,965,1048,4,40,225,4,33,965,1045,230
3237,,963,1003,4,39,207,3,30,957,1027,214
3238,,977,1203,5,46,266,4,39,957,988,218
3239,,963,1008,4,39,211,4,31,955,1027,424
3240,,1065,2213,9,85,575,9,83,1041,1097,2021
3241,,955,907,4,35,183,3,27,874,1061,2566
3242,,1019,1794,7,69,453,7,66,996,1076,828
3243,,1045,2050,8,78,530,8,77,1014,1076,358
3249,,986,1350,6,52,307,5,45,920,1045,3199
3250,,908,329,2,13,53,1,8,715,1025,12250
3251,,929,559,3,22,106,2,16,885,1022,522
3254,,920,444,2,17,77,2,12,920,920,310
3260,,953,867,4,33,168,3,25,788,1054,4766
3264,,923,477,2,19,87,2,13,843,1041,2288
3265,,1013,1723,7,66,428,7,62,958,1053,2621
3266,,953,883,4,34,175,3,26,871,1046,3067
3267,,990,1398,6,54,320,5,47,990,990,248
3268,,993,1448,6,56,333,5,48,922,1053,2607
3269,,1022,1816,7,70,461,7,67,1007,1034,730
3270,,1019,1783,7,68,448,7,65,1010,1041,247
3271,,1035,1961,8,75,505,8,73,997,1052,196
3272,,930,564,3,22,107,2,16,864,1052,1539
3273,,1036,1972,8,75,507,8,73,1036,1036,143
3274,,1034,1954,8,75,502,8,73,1034,1034,246
3275,,1004,1597,7,61,383,6,56,1004,1004,425
3276,,985,1329,6,51,299,5,44,948,1012,482
3277,,997,1502,6,58,351,6,51,966,1035,1926
3278,,1002,1582,7,61,376,6,55,996,1047,313
3279,,1003,1583,7,61,377,6,55,996,1024,290
3280,,957,934,4,36,192,3,28,577,1092,31569
3281,,1048,2073,8,79,534,8,77,1000,1079,1699
3282,,974,1172,5,45,255,4,37,864,1028,2362
3283,,1022,1819,7,70,464,7,67,998,1064,1361
3284,,1007,1662,7,64,406,6,59,985,1052,3439
3285,,1010,1695,7,65,419,7,61,984,1064,1207
3286,,967,1081,5,42,231,4,34,891,1013,566
3287,,1007,1654,7,63,404,6,59,1007,1007,433
3289,,984,1327,6,51,297,5,43,920,1095,756
3292,,992,1427,6,55,327,5,48,992,992,190
3293,,969,1104,5,42,239,4,35,947,1043,301
3294,,1035,1964,8,75,506,8,73,992,1095,959
3300,,950,830,4,32,158,3,23,830,1084,10088
3301,,1045,2044,8,78,527,8,76,985,1089,1211
3302,,990,1405,6,54,322,5,47,989,1014,371
3303,,954,894,4,34,179,3,26,953,1022,336
3304,,911,355,2,14,58,1,9,822,1022,2725
3305,,921,455,2,18,81,2,12,759,1030,12816
3309,,955,912,4,35,185,3,27,955,955,124
3310,,929,554,3,22,104,2,15,872,1018,276
3311,,900,273,2,11,39,1,6,850,1034,1696
3312,,999,1530,6,59,363,6,53,917,1034,1031
3314,,1043,2032,8,78,523,8,76,1018,1090,525
3315,,952,860,4,33,165,3,24,844,1088,1624
3317,,990,1400,6,54,321,5,47,978,1069,200
3318,,958,945,4,36,194,3,28,902,1051,1267
3319,,959,960,4,37,201,3,29,936,1049,344
3321,,1053,2128,9,81,550,8,80,963,1089,1518
3322,,967,1078,5,41,230,4,34,944,1022,175
3323,,1022,1818,7,70,463,7,67,1004,1022,92
3324,,918,429,2,17,72,2,11,824,1022,529
3325,,942,729,3,28,135,2,20,876,1012,479
3328,,1012,1719,7,66,426,7,62,1006,1020,1721
3329,,1007,1664,7,64,408,6,59,944,1016,285
3330,,944,753,3,29,140,3,21,944,944,217
3331,,1021,1808,7,69,457,7,66,898,1079,5997
3332,,982,1286,5,49,285,5,42,964,1008,1014
3333,,958,946,4,36,195,3,29,894,1017,825
3334,,953,873,4,34,172,3,25,938,978,565
3335,,1011,1705,7,65,422,7,61,802,1059,5856
3337,,928,542,3,21,97,2,14,798,1034,36454
3338,,936,636,3,25,118,2,17,816,1087,23412
3340,,985,1331,6,51,301,5,44,797,1091,21121
3341,,1014,1738,7,67,433,7,63,983,1053,1663
3342,,981,1257,5,48,278,5,41,896,1042,3441
3345,,1008,1673,7,64,410,6,59,986,1024,1151
3350,,992,1444,6,55,330,5,48,810,1136,59145
3351,,981,1259,5,48,279,5,41,897,1052,8168
3352,,1009,1685,7,65,414,6,60,900,1132,15996
3355,,879,157,1,6,17,1,3,574,1084,13014
3356,,886,182,1,7,21,1,4,625,1022,16321
3357,,1050,2095,8,80,541,8,78,988,1114,3714
